state,abbr,incentives_gdp,spot_score,dsire_policy_count,dev_policy_count,legislation_index,cpcn,regdata_index,ordinance,sepa,employment_lq,gdp_growth_index,feasibility_index,economic_dynamism,renewable_potential,ev_stations_cap,interconnection_queue,electricity_price,cnbc_rank,clean_tech_investment,datacenter_index,electric_capacity_growth,semiconductor_investment,evs_per_capita,workforce_share,workforce_growth,industry_feasibility,clean_electric_capacity_growth,industrial_electricity_price,datacenter_mw,semiconductor_manufacturing,battery_manufacturing,solar_manufacturing,ev_manufacturing,ind_price_m
Hawaii,HI,NA,0.5649717514124294,NA,6,107,0.25,0.15545795074556124,NA,1,NA,NA,NA,31.6566885529975,NA,6.016052094434681e-4,NA,0.5007935697396688,43,0.4253716093073844,3.025404133161085e-6,0.1712487075513558,NA,0.017577185347911157,NA,NA,NA,626,NA,9.02,NA,NA,NA,NA,31.395454545454545
Idaho,ID,0.003464993024818389,0.24293785310734464,NA,9,NA,0.75,0.033305335685191007,NA,0,NA,0.4994533638938729,NA,50.8063293095555,NA,2.729479397407751e-4,4.143204412256172,0.9164479881910867,38,0.18113271748260362,5.951402183025039e-5,0.169433292371945,0.7792059740199083,0.004188322086166659,NA,NA,NA,959,NA,7.425,98250,NA,NA,NA,7.8145454545454545
Illinois,IL,0.2351528639092701,0.615819209039548,NA,13,67,0.25,0.7491859535720031,95,0,NA,0.33656123510382535,NA,33.3164225357503,NA,3.426688011641785e-4,5.200703863956958,0.7901200950618085,2,0.1166986790566696,0.014003855511334522,0.15595586623190175,NA,0.0077599637339824295,NA,NA,NA,4377.300000000001,NA,1274.77,NA,1260.8479909999999,4.829222,1239.332672,10.166363636363636
Indiana,IN,0.36616408990799587,0.2937853107344633,NA,10,1,0.25,0.21779491624971448,90,1,NA,0.552534657573029,NA,34.4041518903903,NA,2.708318744476648e-4,7.235831171617483,0.8389023172612122,5,0.1732905875248026,0.001666744078392601,0.19849780804462286,0.007930834894470176,0.0037441645947873404,NA,NA,NA,4683.200000000001,NA,193.35,4140.2,4349.004524,36.249267,249.076188,8.80090909090909
Iowa,IA,0.0022337127353420313,0.3333333333333333,NA,16,12,0.25,0.35595762350923843,24,0,NA,0.25309676902396205,NA,30.2514878242561,NA,4.795647314708594e-4,1.7970694516463575,0.9471574384346603,26,0.10880937375913677,0.018822015642217308,0.20659063003675768,NA,0.0027638475366390117,NA,NA,NA,1283.6000000000004,NA,1360.92,NA,NA,NA,NA,7.256363636363637
Kansas,KS,0.7020357533827166,0.192090395480226,NA,16,1,0.75,0.059507856464796935,16,0,NA,0.672717507616771,NA,32.1802797483724,NA,4.4799890345115234e-4,2.511808167538482,0.9303295859429246,10,0.17535832636294013,1.4145938091753693e-6,0.1988627742545348,0.016285808955216703,0.0037653957052930184,NA,NA,NA,1664.9000000000005,NA,23.95,3724,3026.7101459999994,0,170.77748900000003,7.9418181818181814
Kentucky,KY,0.35386706074996194,0.3163841807909605,NA,9,NA,0.25,0.1992385926681542,10,0,NA,0.5697362566246176,NA,27.3823412799747,NA,2.0601833837313418e-4,5.339375635808749,0.8662259253351723,29,0.45234994676271706,5.818151474141624e-4,0.11223629092383343,NA,0.002506089043854136,NA,NA,NA,1058.3,NA,18.58,NA,7459.955007999999,0,1775.6515559999998,6.963636363636364
Louisiana,LA,0.009827807881476363,0.2655367231638418,NA,11,NA,0.75,0.3994241647575073,NA,0,NA,0.5132560806197277,NA,26.9810017454918,NA,1.7266843634989462e-4,11.052918065537956,0.8782333345992768,46,0.227697686526732,2.9902129794014755e-4,0.26902767949303846,3.6894253013303515e-5,0.0017656809990610302,NA,NA,NA,1118.3999999999999,NA,8.6,12,367.439553,871.316748,0,6.193636363636363
Maine,ME,0.003875486441371115,0.6045197740112994,NA,16,40,0.75,0.31086666274495744,NA,0,NA,0.6353262135733387,NA,34.2923231018685,NA,7.761999752119733e-4,3.291420498703787,0.5288578374618933,50,0.3767363266858096,1.4775907214620592e-6,0.1767999799266137,NA,0.005224477387900299,NA,NA,NA,869.8,NA,7.125,NA,NA,NA,NA,15.456363636363637
Maryland,MD,6.24412181870531e-4,0.6892655367231638,NA,24,205,0.25,0.2842246981726855,28,1,NA,0.45717271877068555,NA,36.8978483016117,NA,8.15041258733129e-4,1.330585547977974,0.6966406191336563,15,0.17714176485104483,8.926965689030847e-5,0.06232147766660665,NA,0.011403464190021176,NA,NA,NA,571.5,NA,66.22,NA,17.927791,0,0,12.365454545454545
Massachusetts,MA,3.1012096467022454e-5,0.7401129943502824,NA,22,61,0.25,0.39520873384696276,NA,1,NA,0.16194882522864987,NA,46.1664780604637,NA,9.78344192124967e-4,5.0887117563921995,0.4458021060077597,34,0.1333204448944572,0.0025908112547778327,0.0714249060987955,2.268939882157377e-4,0.010190693923280791,NA,NA,NA,307.4000000000001,NA,189.5,172.5,49.21106799999999,0,0,19.201818181818183
Michigan,MI,1.164755380683969,0.5423728813559322,NA,8,31,0.25,0.09735559407295362,13,0,NA,0.5065299611288647,NA,34.2624684944695,NA,3.6581032168157374e-4,4.524232979076114,0.7480266542494094,26,0.39456872572508905,6.061905608216378e-4,0.10368084834316642,0.0017319452781603135,0.004920921940994182,NA,NA,NA,1914.3000000000002,NA,36.49,1205,8343.082127,1160.6653549999999,4392.057727,8.56090909090909
Minnesota,MN,6.053800932891475e-4,0.6440677966101694,NA,15,66,0.25,0.16626530091498803,56,1,NA,0.426937577082218,NA,39.3401409758001,NA,4.7147739157161903e-4,2.5609006477473475,0.8287063336188345,3,0.13340645902627726,0.0010005971835498856,0.11291313699214829,0.0010783627237778573,0.006349777301973277,NA,NA,NA,866.7000000000003,NA,76.77,525,0,130.31422800000001,0,9.333636363636364
Mississippi,MS,0.08191587539388086,0.2711864406779661,NA,13,NA,0.75,0.38215352150630655,NA,0,NA,0.3633465803072819,NA,22.0537360152685,NA,2.155787620541718e-4,2.871429604260777,0.8798574486419213,48,0.14490287292996398,1.2890310280380927e-6,0.18110847969875402,NA,0.0012187838673613806,NA,NA,NA,1491.2,NA,18.82,NA,639.090657,0,3.0072149999999995,7.285454545454545
Missouri,MO,0.027870282082967976,0.384180790960452,NA,13,3,0.75,0.15361826743312348,3,0,NA,0.4442624985410798,NA,32.3291089494532,NA,4.6731963298061573e-4,7.346427965793746,0.9046446128800627,21,0.08338011171640995,7.739513892170194e-4,0.0930125469423932,0.0018113353408960415,0.004275433467810736,NA,NA,NA,1279,NA,192.7999999999999,800,50.005976999999994,0,50.224544,8.34909090909091
Montana,MT,0.0016500098175584147,0.3559322033898305,NA,13,NA,0.25,0.08530551481013036,NA,1,NA,0.5431776304687979,NA,41.9459080972251,NA,3.287875891856541e-4,4.841505407947932,0.8973077745433318,40,0.2185963353126594,7.152984660157418e-6,0.13412785337697236,0.0012236936494921114,0.004040141895913317,NA,NA,NA,824.2,NA,43.06,90,NA,NA,NA,7.0618181818181816
Nebraska,NE,0.14625364544086944,0.2598870056497175,NA,11,4,0.75,0.14419729869848563,24,0,NA,0.5123491599495832,NA,36.1098252007449,NA,3.539019383893765e-4,3.6341702525093877,0.9995930967987333,35,0.06498795409697941,0.01333723586474383,0.12746628520752915,NA,0.003415622613186172,NA,NA,NA,98.89999999999964,NA,587.695,NA,NA,NA,NA,7.995454545454545
Nevada,NV,0.1715899902532844,0.576271186440678,NA,6,NA,0.75,0.09938899828759827,3,0,NA,0.8993697953460098,NA,52.6182775372571,NA,6.129202958247197e-4,9.407643550987782,0.8218587429236945,9,0.5531130655096756,3.5583035138414796e-5,0.25149984215233206,NA,0.014250622548136747,NA,NA,NA,3600.6,NA,524.096,NA,7642.449141,16.187355999999998,797.4602100000001,8.055454545454545
New Hampshire,NH,NA,0.5875706214689266,NA,5,72,0.75,0.29107584035203515,NA,0,NA,0.21896662585997936,NA,39.9841176547735,NA,4.398001642510557e-4,0.25133028786224165,0.7333480928537993,42,0.15217148237579495,1.4518678843427961e-6,NA,8.81137453798215e-4,0.006972458874083055,NA,NA,NA,NA,NA,5.4,105,NA,NA,NA,16.745454545454546
New Jersey,NJ,NA,0.6214689265536724,NA,11,69,0.25,0.6830765031260225,2,1,NA,0.4600164701750082,NA,42.0300568048669,NA,3.911533344030218e-4,2.3358416079465454,0.802942342147861,21,0.32730965096315157,0.007547058580967703,0.025633563548722742,NA,0.013947892371212066,NA,NA,NA,207.5999999999999,NA,643.305,NA,NA,NA,NA,13.88
New Mexico,NM,0.01899502706970923,0.5028248587570622,NA,19,49,0.75,0.2957617469548545,NA,0,NA,0.461260648906377,NA,33.5215870042603,NA,3.669080470253065e-4,4.2147919116988914,0.9183826306156837,45,0.4247618886715009,6.225124174258831e-7,0.3152623729190818,0.05510335260316178,0.004796879250931361,NA,NA,NA,3112.3999999999996,NA,7.24,7597.5,0,53.035081,0,6.034545454545454
New York,NY,0.3615604836213702,0.7231638418079096,95,25,118,0.25,0.748257908183372,31,1,1.2,0.24163908674402784,0.58,36.876077531527,0.7,5.623191024629996e-4,5.504579792621917,0.6639600516176666,18,0.07466773084017979,0.02337845395911305,0.09848432905328483,0.05735918349189189,0.006532517454263471,0.22,0.045,0.58,2370.4999999999995,0.65,761.021,128476.3,561.412288,701.383317,18.848711,9.925454545454546
North Carolina,NC,0.21881177194399423,0.4689265536723164,NA,7,15,0.25,0.18623197423317267,135,1,NA,0.30355075593873687,NA,43.4839403453727,NA,4.035226831380929e-4,2.961098303108336,0.8097417443058654,16,0.21994908471966954,0.0041832528385198344,0.12037196712290942,0.006222161979952578,0.006261115776139131,NA,NA,NA,1328.5,NA,1063.63,5172.5,14968.596365,71.865076,222.742812,7.719090909090909
North Dakota,ND,NA,0.12429378531073447,NA,10,NA,0.75,0.05569919204410741,4,0,NA,0.6603777433851208,NA,32.8009308849783,NA,3.274761849176893e-4,3.068490604613126,0.9259789126782079,25,0,3.529332265135605e-5,0.25626228472330126,NA,0.001189582050515394,NA,NA,NA,NA,NA,302.11,NA,NA,NA,NA,7.624545454545454
Ohio,OH,0.42170280636783536,0.4406779661016949,NA,17,5,0.25,0.6907109775653375,NA,0,NA,0.5324825180915964,NA,31.4377627333279,NA,3.3796883136659776e-4,1.752942054895656,0.7656383487980584,6,0.30135909362304625,0.013972307945267558,0.18886041424240704,0.030675402404092892,0.0042146160156042965,NA,NA,NA,3755.2,NA,4427.04,28070,6626.402614999999,2290.496819,2312.623353,8.414545454545454
Oklahoma,OK,0.7976122775310854,0.3559322033898305,NA,24,7,0.75,0.3023766144086881,NA,0,NA,0.486701467194481,NA,33.3713884571487,NA,4.092767726690649e-4,2.6516434341728137,0.8830999406383497,20,0.19211651093860388,5.494094037983432e-7,0.20938775393385403,NA,0.005535292669081971,NA,NA,NA,2869.6000000000004,NA,16.86,NA,184.245403,0,180.13111800000001,6.096363636363637
Oregon,OR,0.03544032471139866,0.7457627118644068,NA,8,34,0.25,0.6587195282699587,1,0,NA,0.26886305579141034,NA,42.1609166337327,NA,7.647938918489124e-4,14.68291757629459,0.7070750758015425,32,0.289532020870893,0.013687551159289687,0.10502563888113499,0.11633554339427313,0.014961367681850411,NA,NA,NA,1213.5,NA,2733.067,37551,18.941549000000002,0,0,8.223636363636365
Pennsylvania,PA,0.00137161805579331,0.5423728813559322,NA,27,41,0.25,0.4514929780768971,8,0,NA,0.41807920396763093,NA,32.2097896457707,NA,3.5292553253718777e-4,0.6054467322083542,0.7282739400197255,17,0.06097528028250875,0.017770423664627742,0.07837358969403188,3.109483432516122e-4,0.005327983174007719,NA,NA,NA,1040.3000000000002,NA,609.519,315,112.20812,21.035826,51.387937,9.246363636363636
Rhode Island,RI,NA,0.6271186440677966,NA,21,22,0.25,0.1683821143071557,NA,0,NA,0.3322058065572473,NA,34.587485888286,NA,7.326368535888579e-4,2.6255407901956826,0.462110826364459,44,0.2957564775120401,4.537782866267309e-7,0.09875299198063692,NA,0.005686826839264969,NA,NA,NA,151.3,NA,1,NA,NA,NA,NA,21.687272727272727
South Carolina,SC,0.5622970681876384,0.384180790960452,NA,28,4,0.75,0.11691531810940839,26,0,NA,0.6883345968377715,NA,40.8113678302075,NA,2.7361075617588724e-4,2.0911795624842373,0.9374435507895762,8,0.30534507087724044,8.382675921276976e-4,0.04630938777966919,NA,0.0037548174317286616,NA,NA,NA,668.5999999999999,NA,183.8,NA,2577.297849,974.1849799999999,1709.806616,7.051818181818182
South Dakota,SD,0.0015150906129803526,0.1864406779661017,NA,5,NA,0.75,0.01169783365380949,8,1,NA,0.3463871060074227,NA,38.7311991344826,NA,3.5318364827188243e-4,1.249871673565718,0.9197820510157528,31,0.09188791626185266,1.5803126538555518e-6,NA,NA,0.001803605520900619,NA,NA,NA,NA,NA,9.75,NA,NA,NA,NA,8.697272727272727
Tennessee,TN,0.28861033616068327,0.24858757062146894,NA,14,2,0.25,0.26739929657486877,12,0,NA,0.4665421940112141,NA,38.4573051963815,NA,3.285646701073934e-4,2.0769580022701475,0.9101224626072106,3,0.35596945893121945,0.002007209877653352,0.05215345391184071,NA,0.004548019544015715,NA,NA,NA,583.8999999999999,NA,1057.24,NA,8566.270171,6.1103309999999995,4899.143003,6.707272727272727
Texas,TX,0.031113753667791615,0.4011299435028249,80,10,20,0.75,0.7536138641755168,2,0,1.1,0.6086651093408388,0.55,50.286692341347504,0.8,2.9397671488185656e-4,4.4075128722893915,0.7937448307226009,24,0.22169923777120434,0.02662317489057537,0.701427441494646,0.03392761222508413,0.007215378787562632,0.2,0.04,0.55,35699.7,0.6,4771.214,92002.8,1566.770363,1966.3991429999999,1761.7880679999998,6.529090909090909
Utah,UT,0.015065631500730257,0.4180790960451977,NA,13,6,0.75,0.15699009062681943,16,0,NA,0.7028007187316566,NA,54.8643459127399,NA,6.348558087225276e-4,8.566004653482892,0.92118891773574,29,0.4088513294122622,5.4336176756137975e-5,0.15211963865132924,0.036719324319456556,0.011206073538077519,NA,NA,NA,1184.4999999999998,NA,453.2,11000,144.631207,1267.1473449999999,0,8.48
Vermont,VT,NA,0.6440677966101694,NA,11,19,0.25,0.11856332623078966,NA,0,NA,0.14982238779581533,NA,34.3086702738611,NA,0.001517101473520462,0.4532404339355468,0.7392867378481756,37,0.3962688517690983,4.210626421162732e-6,NA,0.020078119545967055,0.012038238697498408,NA,NA,NA,NA,NA,3,900,NA,NA,NA,12.313636363636364
Virginia,VA,0.003931238061314758,0.536723163841808,NA,24,233,0.25,0.311905024263455,85,1,NA,0.4456362501883961,NA,36.8451894166769,NA,5.357200220633847e-4,2.4095949341167824,0.8280848568960897,10,0.16114482407292902,0.20708740150772054,0.12386883114970118,0.0026684551907742654,0.009561234669883515,NA,NA,NA,2331.8,NA,12721.27,2000,4.727936,0,115.33738,9.297272727272727
Washington,WA,0.07943292369206029,0.6045197740112994,NA,10,80,0.75,0.6195507579184683,6,1,NA,0.4650284995906966,NA,48.7276844924221,NA,7.372914379964806e-4,7.783742690915486,0.8071302633586493,23,0.10868080592743912,0.0068393793883386135,NA,0,0.018850691714692,NA,NA,NA,NA,NA,844.007,0,729.191734,27.710573999999998,22.516391,6.724545454545455
West Virginia,WV,NA,0.2033898305084746,NA,24,8,0.25,0.2714338070042266,NA,0,NA,0.5430148869482385,NA,21.8333011137428,NA,2.830652200041357e-4,4.362226063849865,0.6219113429554047,41,0.09338427829128235,2.3356763718633226e-7,0.014662961104095146,NA,0.0015582712111205715,NA,NA,NA,146.20000000000005,NA,3.55,NA,806.899446,0,1.148757,8.116363636363637
Wisconsin,WI,0.0030461812264219895,0.3389830508474576,NA,9,4,0.25,0.37247590379334106,4,1,NA,0.3508983783797085,NA,33.4399345087037,NA,2.985647623255055e-4,2.604473364648984,0.8077772264937557,39,0.14870522874966405,0.0022428878263595557,0.1509399407804899,NA,0.004158068602280895,NA,NA,NA,2113.2000000000003,NA,41.68,NA,0,29.348922999999996,0,8.936363636363636
Wyoming,WY,0.005656009069724767,0.15819209039548024,NA,3,18,0.75,0.08475240548957298,12,0,NA,NA,NA,43.3298909468058,NA,4.811128567985437e-4,2.965462598325091,0.9271657344517983,36,0.13888939973968398,0.005124220351837401,0.2424825805009415,NA,0.0019295336052589482,NA,NA,NA,NA,NA,1411.2,NA,NA,NA,NA,8.692727272727273
