economic_area,state,abbr,workforce_share,workforce_growth,industry_feasibility,clean_electric_capacity_growth,industrial_electricity_price,datacenter_mw,semiconductor_manufacturing,battery_manufacturing,solar_manufacturing,ev_manufacturing
"Baltimore, MD-Washington, DC",Virginia,VA,NA,NA,NA,2331.8,NA,6464.924400000001,2000,0,18.48,0
"Bangor, ME",Maine,ME,NA,NA,NA,869.8,NA,0.7425,0,0,291.72,0
"Baraboo, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,49.236000000000004,0
"Bartlesville, OK",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,0,0,1.98,0
"Baton Rouge, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,3.63,0,0,0,0
"Beatrice, NE",Nebraska,NE,NA,NA,NA,98.89999999999964,NA,0,0,0,1.32,0
"Bellingham, WA",Washington,WA,NA,NA,NA,NA,NA,0.066,0,0,0,0
"Bend, OR",Oregon,OR,NA,NA,NA,1213.5,NA,344.25600000000003,0,0,141.636,0
"Bend, OR",Washington,WA,NA,NA,NA,NA,NA,1.6500000000000001,0,0,99,0
"Bennettsville, SC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,3.3000000000000003,0
"Bennettsville, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,9.042,0
"Big Spring, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,6.6000000000000005,0
"Biloxi, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,10.428,0,0,51.81,0
"Binghamton, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,0,0,35.31,0
"Birmingham, AL",Alabama,AL,NA,NA,NA,NA,NA,45.738,0,0,0,0
"Bismarck, ND",North Dakota,ND,NA,NA,NA,NA,NA,1.056,0,0,0,0
"Blacksburg, VA",Virginia,VA,NA,NA,NA,2331.8,NA,0,0,0,13.200000000000001,0
"Bloomington, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,4.752000000000001,0
"Bloomington, IN",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,109.09800000000001,0
"Bloomington, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,76.03200000000001,4140.2,0,928.884,0
"Bluefield, WV",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,73.26,0
"Bluefield, WV",Virginia,VA,NA,NA,NA,2331.8,NA,36.300000000000004,0,0,1.98,0
"Boise City, ID",Idaho,ID,NA,NA,NA,959,NA,2.9205,50000,0,132,0
"Boston, MA",Massachusetts,MA,NA,NA,NA,307.4000000000001,NA,125.07000000000001,172.5,0,77.682,0
"Boston, MA",Rhode Island,RI,NA,NA,NA,151.3,NA,0.66,0,0,137.544,0
"Bowling Green, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,154.44,0
"Bowling Green, KY",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,3.168,0
"Bozeman, MT",Montana,MT,NA,NA,NA,824.2,NA,1.7094,0,0,55.440000000000005,0
"Brady, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,72.60000000000001,0
"Brainerd, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0.264,0,0,16.5,0
"Brownsville, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,1.65,0,0,208.56,0
"Brownwood, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,1100.4840000000002,0
"Brunswick, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,54.054,0
"Bryan, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,1.98,0,0,0,0
"Buffalo, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,336.468,0,0,63.624,0
"Burlington, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0,0,0,104.874,0
"Burlington, VT",Vermont,VT,NA,NA,NA,NA,NA,1.98,900,0,8.382000000000001,0
"Butte, MT",Montana,MT,NA,NA,NA,824.2,NA,0,0,0,52.800000000000004,0
"Cape Coral, FL",Florida,FL,NA,NA,NA,6416.9,NA,0,0,0,49.17,0
"Cape Girardeau, MO",Missouri,MO,NA,NA,NA,1279,NA,0,0,0,264,0
"Carbondale, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,366.564,0
"Casa Grande, AZ",Arizona,AZ,NA,NA,NA,9103.6,NA,0,810,0,852.72,0
"Cedar Rapids, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,3.1746000000000003,0,0,136.95,0
"Charleston, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,83.292,0,0,0,0
"Charleston, WV",Ohio,OH,NA,NA,NA,3755.2,NA,0,0,0,31.68,0
"Charleston, WV",West Virginia,WV,NA,NA,NA,146.20000000000005,NA,1.0230000000000001,0,0,0,0
"Charlotte, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,129.228,0,0,10.56,0
"Charlottesville, VA",Virginia,VA,NA,NA,NA,2331.8,NA,0,0,0,31.944000000000003,0
"Chattanooga, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,2.343,0,0,4.356,0
"Cheyenne, WY",Wyoming,WY,NA,NA,NA,NA,NA,192.192,0,0,99,0
"Chicago, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,663.1482000000001,0,0,82.104,0
"Chicago, IL",Indiana,IN,NA,NA,NA,4683.200000000001,NA,25.608,0,0,0,0
"Cincinnati, OH",Kentucky,KY,NA,NA,NA,1058.3,NA,6.930000000000001,0,0,2.178,0
"Cincinnati, OH",Ohio,OH,NA,NA,NA,3755.2,NA,58.542,0,0,450.252,0
"Cleveland, OH",Ohio,OH,NA,NA,NA,3755.2,NA,31.561200000000003,0,0,85.008,0
"Clinton, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0,0,0,0.8580000000000001,0
"Clinton, IA",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,25.476000000000003,0
"Clovis, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0.33,0,0,1.98,0
"Colorado Springs, CO",Colorado,CO,NA,NA,NA,2494.5,NA,3.6959999999999997,722,0,115.5,0
"Columbia, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,1.254,0,0,147.576,0
"Columbia, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,23.1,0
"Columbus, OH",Ohio,OH,NA,NA,NA,3755.2,NA,982.1790000000001,28020,0,764.412,0
"Concordia, KS",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,0,0,1.32,0
"Corpus Christi, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,315.612,0
"Corsicana, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,327.36,0
"Creston, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0,0,0,35.442,0
"Dallas, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,994.64574,53585,0,403.524,0
"Dalton, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,4.29,0
"Danville, VA",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,7.920000000000001,0
"Danville, VA",Virginia,VA,NA,NA,NA,2331.8,NA,0,0,0,185.46,0
"Davenport, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,3.3000000000000003,0,0,0,0
"Dayton, OH",Ohio,OH,NA,NA,NA,3755.2,NA,118.07400000000001,0,0,95.04,0
"De Kalb, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,161.04,0,0,109.824,0
"Decatur, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,15.84,0,0,180.84,0
"Del Rio, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,105.60000000000001,0
"Denver, CO",Colorado,CO,NA,NA,NA,2494.5,NA,54.582,0,0,67.452,0
"Des Moines, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,584.892,0,0,0.66,0
"Detroit, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,15.774000000000001,0,0,206.118,0
"Dothan, AL",Alabama,AL,NA,NA,NA,NA,NA,0,0,0,52.800000000000004,0
"Douglas City, CA",California,CA,0.25,0.05,0.62,17555,0.7,0,0,0,4.62,0
"Dublin, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,387.42,0
"Dubuque, IA",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,2.64,0
"Dubuque, IA",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,297,0
"Duluth, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0.8580000000000001,0,0,6.072,0
"Durango, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,7.194000000000001,0
"Eagle Pass, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,168.3,0,0,398.31,0
"Eau Claire, WI",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,33.92400000000001,0
"Eau Claire, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,81.51,0
"El Paso, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0.99,0,0,108.57000000000001,0
"Elizabeth City, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,17.82,0
"Elizabethtown, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,132,0
"Elmira, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,0,0,4.29,0
"Enid, OK",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,0,0,0,165,0
"Erie, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,39.6,0
"Escanaba, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,0,0,0.9239999999999999,0
"Espanola, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0.132,0,0,142.428,0
"Eugene, OR",Oregon,OR,NA,NA,NA,1213.5,NA,0.198,44,0,5.9399999999999995,0
"Evansville, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,0.99,0,0,403.194,0
"Fairbanks, AK",Alaska,AK,NA,NA,NA,NA,NA,0,0,0,0.5940000000000001,0
"Fargo, ND",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,0.66,0
"Fargo, ND",North Dakota,ND,NA,NA,NA,NA,NA,1.9206,0,0,0,0
"Farmington, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,132,0
"Fayetteville, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0,0,0,7.854,0
"Fayetteville, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0.99,0,0,0,0
"Fergus Falls, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,32.934,0
"Flagstaff, AZ",Arizona,AZ,NA,NA,NA,9103.6,NA,0,30,0,0,0
"Florence, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,20.658,0
"Floydada, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,463.32000000000005,0
"Fond du Lac, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,344.586,0
"Forrest City, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0,0,0,419.1,0
"Fort Collins, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,143.616,0
"Fort Smith, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0,0,0,5.94,0
"Fort Wayne, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,2.673,0,0,8.448,0
"Frankfort, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,66,0
"Franklin, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,133.98000000000002,0,0,0,0
"Frederick, MD",Maryland,MD,NA,NA,NA,571.5,NA,7.92,0,0,162.228,0
"Frederick, MD",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,237.666,0
"Fredericksburg, VA",Virginia,VA,NA,NA,NA,2331.8,NA,13.530000000000001,0,0,43.428,0
"Fremont, NE",Nebraska,NE,NA,NA,NA,98.89999999999964,NA,0,0,0,61.050000000000004,0
"Fresno, CA",California,CA,0.25,0.05,0.62,17555,0.7,0,0,0,1274.592,0
"Galesburg, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,196.21800000000002,0
"Gallup, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0,0,0,362.67,0
"Goldsboro, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,5.94,0
"Grand Forks, ND",North Dakota,ND,NA,NA,NA,NA,NA,6.864000000000001,0,0,0,0
"Grand Island, NE",Nebraska,NE,NA,NA,NA,98.89999999999964,NA,20.196,0,0,7.194000000000001,0
"Grand Junction, CO",Colorado,CO,NA,NA,NA,2494.5,NA,0,0,0,185.196,0
"Grand Rapids, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,8.309400000000002,0,0,3.3000000000000003,0
"Great Falls, MT",Montana,MT,NA,NA,NA,824.2,NA,0.1584,0,0,0,0
"Greensboro, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,1.881,0,0,2.64,0
"Greenville, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,0,0,0,263.34000000000003,0
"Greenville, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,6.6000000000000005,0
"Greenville, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,13.332,0,0,15.840000000000002,0
"Greenwood, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,1.32,0
"Harrisburg, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,106.59,0
"Harrisonburg, VA",Virginia,VA,NA,NA,NA,2331.8,NA,4.422000000000001,0,0,34.188,0
"Haskell, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,0,0
"Hattiesburg, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,0.33,0,0,168.3,0
"Helena, MT",Montana,MT,NA,NA,NA,824.2,NA,0.15180000000000002,0,0,0,0
"Hickory, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,140.57999999999998,0,0,0,0
"Hinesville, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,9.834,0
"Honolulu, HI",Hawaii,HI,NA,NA,NA,626,NA,5.953200000000001,0,0,171.27,0
"Hot Springs, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0,0,0,149.622,0
"Houston, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,79.893,0,0,1695.078,0
"Huntsville, AL",Alabama,AL,NA,NA,NA,NA,NA,297.132,0,0,21.384,0
"Huntsville, AL",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,99,0
"Indianapolis, IN",Indiana,IN,NA,NA,NA,4683.200000000001,NA,13.332,0,0,9.108,0
"Jackson, MS",Mississippi,MS,NA,NA,NA,1491.2,NA,1.2342,0,0,66,0
"Jackson, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,311.454,0
"Jacksonville, FL",Florida,FL,NA,NA,NA,6416.9,NA,23.2815,0,0,936.144,0
"Jamestown, ND",North Dakota,ND,NA,NA,NA,NA,NA,4.752000000000001,0,0,0,0
"Jamestown, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,0,0,0,90.354,0
"Johnson City, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,9.174,0
"Johnson City, TN",Virginia,VA,NA,NA,NA,2331.8,NA,0.33,0,0,0,0
"Jonesboro, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0.264,0,0,353.76,0
"Kalamazoo, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,10,0,629.64,0
"Kanab, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,0,0,0,47.52,0
"Kannapolis, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,3.3000000000000003,0,0,82.10400000000001,0
"Kansas City, MO",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,15.807,0,0,0,0
"Kansas City, MO",Missouri,MO,NA,NA,NA,1279,NA,101.145,0,0,6.6000000000000005,0
"Keene, NH",New Hampshire,NH,NA,NA,NA,NA,NA,0.33,0,0,0,0
"Keene, NH",Vermont,VT,NA,NA,NA,NA,NA,0,0,0,0,0
"Kenosha, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,140.91,0
"Kingsville, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,86.46000000000001,0
"Kirksville, MO",Missouri,MO,NA,NA,NA,1279,NA,0,0,0,165,0
"Knoxville, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0.9240000000000002,0,0,6.798,0
"Kodiak, AK",Alaska,AK,NA,NA,NA,NA,NA,0,0,0,3.96,0
"La Crosse, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,2.64,0
"La Grange, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,1.98,0
"Lafayette, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,0,0,0,89.10000000000001,0
"Lansing, MI",Michigan,MI,NA,NA,NA,1914.3000000000002,NA,0,0,0,82.5,0
"Laredo, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0.561,0,0,339.90000000000003,0
"Las Cruces, NM",New Mexico,NM,NA,NA,NA,3112.3999999999996,NA,0.5082,0,0,108.9,0
"Las Vegas, NV",Arizona,AZ,NA,NA,NA,9103.6,NA,0,0,0,11.616000000000001,0
"Las Vegas, NV",Nevada,NV,NA,NA,NA,3600.6,NA,220.33836,0,0,1053.3600000000001,0
"Lenoir, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,53.46,0,0,7.260000000000001,0
"Lewistown, MT",Montana,MT,NA,NA,NA,824.2,NA,13.200000000000001,90,0,0,0
"Lexington, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,8.25,0
"Lima, OH",Ohio,OH,NA,NA,NA,3755.2,NA,0,50,0,132.594,0
"Lincoln, NE",Nebraska,NE,NA,NA,NA,98.89999999999964,NA,1.1286,0,0,0.66,0
"Little Rock, AR",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,1.287,0,0,346.302,0
"Lockhart, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,280,0,132,0
"Logan, UT",Utah,UT,NA,NA,NA,1184.4999999999998,NA,0,0,0,107.64600000000002,0
"Los Angeles, CA",California,CA,0.25,0.05,0.62,17555,0.7,154.43934000000002,0,0,4277.658,0
"Louisville, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,4.587000000000001,0,0,0,0
"Lubbock, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,200,0,2.9040000000000004,0
"Lumberton, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,17.094,0
"Lynchburg, VA",Virginia,VA,NA,NA,NA,2331.8,NA,0,0,0,308.022,0
"Macon, GA",Georgia,GA,NA,NA,NA,4089.5,NA,0,0,0,8.646,0
"Madison, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,3.1020000000000003,0,0,27.39,0
"Manchester, NH",New Hampshire,NH,NA,NA,NA,NA,NA,3.234,105,0,0,0
"Manhattan, KS",Kansas,KS,NA,NA,NA,1664.9000000000005,NA,0,4,0,3.564,0
"Mankato, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,0,0,0,47.916000000000004,0
"Marquette, MI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,4.95,0
"Mason City, IA",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,0.33,0,0,10.626000000000001,0
"Memphis, TN",Arkansas,AR,NA,NA,NA,2331.2000000000003,NA,0,0,0,237.60000000000002,0
"Memphis, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,142.13100000000003,0,0,0,0
"Merced, CA",California,CA,0.25,0.05,0.62,17555,0.7,0,0,0,12.672,0
"Merrill, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,16.764,0
"Miami, FL",Florida,FL,NA,NA,NA,6416.9,NA,53.2587,0,0,1229.25,0
"Milwaukee, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,10.23,0,0,4.95,0
"Mineral Wells, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,0,0
"Minneapolis-St. Paul, MN",Minnesota,MN,NA,NA,NA,866.7000000000003,NA,48.556200000000004,525,0,318.64799999999997,0
"Minneapolis-St. Paul, MN",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,3.3000000000000003,0
"Moberly, MO",Missouri,MO,NA,NA,NA,1279,NA,0,0,0,217.8,0
"Montgomery, AL",Alabama,AL,NA,NA,NA,NA,NA,0,0,0,66,0
"Morgantown, WV",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,0,0,0,18.48,0
"Morgantown, WV",West Virginia,WV,NA,NA,NA,146.20000000000005,NA,0.33,0,0,16.104,0
"Morristown, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,0,0,0,1.32,0
"Mount Airy, NC",North Carolina,NC,NA,NA,NA,1328.5,NA,0,0,0,47.916000000000004,0
"Myrtle Beach, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,20.46,0,0,170.94,0
"Nacogdoches, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,636.9,0
"Nampa, ID",Idaho,ID,NA,NA,NA,959,NA,0,0,0,26.400000000000002,0
"Nashville, TN",Kentucky,KY,NA,NA,NA,1058.3,NA,0.7458,0,0,0,0
"Nashville, TN",Tennessee,TN,NA,NA,NA,583.8999999999999,NA,552.3804,0,0,6.666,0
"New London, WI",Wisconsin,WI,NA,NA,NA,2113.2000000000003,NA,0,0,0,65.34,0
"New Orleans, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,1.3860000000000001,12,0,145.2,0
"New Roads, LA",Louisiana,LA,NA,NA,NA,1118.3999999999999,NA,0,0,0,198,0
"New York, NY",Connecticut,CT,NA,NA,NA,196.10000000000002,NA,30.096,200,0,149.226,0
"New York, NY",New Jersey,NJ,NA,NA,NA,207.5999999999999,NA,423.2613,0,0,115.962,0
"New York, NY",New York,NY,0.22,0.045,0.58,2370.4999999999995,0.65,146.99586,1301.65,0,88.44,0
"New York, NY",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,244.10034,0,0,5.742,0
"Newark, OH",Ohio,OH,NA,NA,NA,3755.2,NA,1728.342,0,0,214.5,0
"Newberry, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,98.934,0
"Odessa, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,227.7,0
"Oklahoma City, OK",Oklahoma,OK,NA,NA,NA,2869.6000000000004,NA,9.5106,0,0,0,0
"Olney, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,197.34,0
"Omaha, NE",Iowa,IA,NA,NA,NA,1283.6000000000004,NA,305.4018,0,0,0,0
"Omaha, NE",Nebraska,NE,NA,NA,NA,98.89999999999964,NA,366.55410000000006,0,0,0,0
"Ontario, OR",Oregon,OR,NA,NA,NA,1213.5,NA,0,0,0,1.98,0
"Orangeburg, SC",South Carolina,SC,NA,NA,NA,668.5999999999999,NA,0,0,0,43.56,0
"Orlando, FL",Florida,FL,NA,NA,NA,6416.9,NA,12.223199999999993,25,0,534.996,0
"Ottawa, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,51.81,0
"Owensboro, KY",Kentucky,KY,NA,NA,NA,1058.3,NA,0,0,0,270.6,0
"Paris, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,2298.384,0
"Payette, ID",Idaho,ID,NA,NA,NA,959,NA,0,250,0,0,0
"Pecos, TX",Texas,TX,0.2,0.04,0.55,35699.7,0.6,0,0,0,407.74800000000005,0
"Pendleton, OR",Oregon,OR,NA,NA,NA,1213.5,NA,778.1400000000001,0,0,143.22,0
"Pensacola, FL",Florida,FL,NA,NA,NA,6416.9,NA,0,0,0,540.87,0
"Peoria, IL",Illinois,IL,NA,NA,NA,4377.300000000001,NA,0,0,0,7.854000000000001,0
"Petersburg, VA",Virginia,VA,NA,NA,NA,2331.8,NA,695.6400000000001,0,0,340.29600000000005,0
"Philadelphia, PA",Delaware,DE,NA,NA,NA,18.700000000000003,NA,3.3,50,0,43.362,0
"Philadelphia, PA",Maryland,MD,NA,NA,NA,571.5,NA,0,0,0,4.686,0
"Philadelphia, PA",New Jersey,NJ,NA,NA,NA,207.5999999999999,NA,1.32,0,0,23.826,0
"Philadelphia, PA",Pennsylvania,PA,NA,NA,NA,1040.3000000000002,NA,43.4346,0,0,14.190000000000001,0
